bedrooms,bathrooms,floors,waterfront,view,condition,basement,marla,price
2,1,1,0,0,3,0,2.644618385,4875000
2,1,1,0,0,3,0,2.644618385,5125000
2,1,1,0,0,3,0,2.644618385,5250000
2,1,1,0,0,3,0,2.644618385,8233750
2,1,1,0,0,3,0,2.644618385,8325000
2,1,1,0,0,4,0,2.644618385,3179000
1,1,1,0,0,3,0,2.644618385,0
1,1,1,0,0,3,0,2.644618385,4750000
1,1,1,0,0,3,0,2.644618385,8375000
2,1,1,0,0,5,0,2.644618385,4975000
1,1,1,0,0,3,0,2.681349196,8037500
1,1,1,0,0,3,0,2.681349196,9875000
2,1,1,0,0,3,0,2.681349196,9462500
2,1,1,0,0,3,0,2.718080007,8550000
2,1,1,0,0,2,0,2.718080007,5893750
2,1,1,0,0,4,0,2.718080007,7617500
2,1,1,0,0,4,0,2.718080007,8750000
2,1,1,0,0,3,0,2.718080007,3937500
2,2,2,0,0,3,0,2.754810818,9375000
1,1,1,0,0,3,0,2.754810818,6250000
2,1,1,0,0,4,0,2.754810818,7500000
1,2,1,0,0,4,1,2.754810818,8875000
2,1,1,0,0,3,0,2.791541629,7500000
2,1,2,0,0,3,0,2.791541629,4094650
2,1,1,0,0,5,0,2.82827244,6875000
2,1,1,0,0,5,0,2.82827244,10337500
2,1,1,0,0,4,0,2.82827244,6500000
2,1,1,0,0,4,0,2.82827244,6875000
2,1,1,0,0,3,0,2.82827244,5740750
2,1,1,0,0,4,0,2.865003251,2187500
2,1,1,0,0,1,0,2.865003251,195000
2,1,1,0,0,4,0,2.865003251,7125000
2,1,1,0,0,4,0,2.865003251,7150000
2,1,1,0,0,4,0,2.865003251,7650000
2,1,1,0,0,3,0,2.865003251,9500000
1,1,1,0,0,3,0,2.901734062,3375000
2,1,1,0,0,4,0,2.901734062,6256875
2,1,1,0,0,4,0,2.901734062,6712500
2,1,1,0,0,4,0,2.901734062,7495000
2,1,1,0,0,3,0,2.901734062,2250000
2,1,1,0,0,3,0,2.901734062,7875000
2,1,1,0,0,3,0,2.901734062,10900000
2,1,1,0,0,5,0,2.938464872,10062500
3,2,1,0,0,4,0,2.938464872,4775000
2,2,2,0,0,3,0,2.938464872,6626250
2,2,1,0,0,5,0,2.938464872,8398750
1,1,1,0,0,2,1,2.938464872,6250000
2,1,1,0,0,4,0,2.938464872,7375000
2,1,1,0,0,4,0,2.938464872,11000000
2,1,1,0,0,3,0,2.938464872,2750000
2,1,1,0,0,3,0,2.938464872,7125000
2,1,1,0,0,3,0,2.938464872,8125000
2,1,1,0,0,3,0,2.938464872,9337500
2,1,1,0,0,3,0,2.938464872,10875000
3,1,1,0,0,4,0,2.938464872,9250000
2,1,1,0,2,3,0,2.938464872,9475000
2,1,1,0,0,1,0,2.975195683,6375000
2,1,1,0,0,4,0,2.975195683,0
2,1,1,0,0,4,0,2.975195683,8125000
2,1,1,0,0,3,0,2.975195683,6337500
2,1,1,0,0,3,0,2.975195683,7720775
1,1,1,0,0,5,0,2.975195683,5875000
1,2,2,0,0,4,0,2.975195683,7125000
2,1,1,0,0,5,0,2.975195683,5150000
2,1,1,0,0,3,0,3.011926494,3750000
2,1,1,0,0,3,0,3.011926494,11875000
3,1,2,0,0,3,0,3.011926494,3750000
1,1,1,0,0,3,0,3.011926494,13188750
1,1,1,0,0,3,1,3.011926494,4850000
2,1,3,0,0,3,0,3.011926494,8498750
2,1,1,0,0,4,0,3.011926494,4325000
2,1,1,0,0,4,0,3.011926494,7500000
2,1,1,0,0,4,0,3.011926494,9032000
2,1,1,0,0,4,0,3.011926494,9375000
2,1,1,0,0,3,0,3.011926494,2562500
2,1,1,0,0,4,0,3.048657305,7065325
2,2,2,0,0,3,0,3.048657305,7537500
2,2,2,0,0,3,0,3.048657305,8236125
2,2,2,0,0,3,0,3.048657305,8362500
2,1,1,0,0,4,0,3.048657305,12975000
2,1,1,0,0,3,0,3.048657305,4375000
2,1,1,0,0,3,0,3.048657305,9861875
2,1,1,1,3,4,0,3.048657305,9625000
2,2,2,0,0,3,0,3.085388116,6750000
2,1,1,0,0,3,0,3.085388116,4675000
2,1,1,0,0,3,0,3.085388116,8125000
2,1,1,0,0,3,0,3.085388116,10000000
2,1,1,0,0,3,0,3.085388116,10127500
2,1,1,0,2,4,0,3.085388116,11615000
2,1,1,1,4,4,0,3.085388116,13200000
2,2,1,0,0,3,1,3.085388116,11250000
3,2,1,0,0,3,0,3.122118927,7375000
2,1,1,0,0,4,0,3.122118927,7712500
3,1,1,0,0,3,0,3.122118927,8125000
2,1,1,0,2,5,1,3.122118927,9000000
1,1,1,0,0,2,0,3.122118927,4125000
2,1,1,0,0,4,0,3.158849738,10500000
2,1,1,0,0,5,0,3.158849738,5000000
2,1,1,0,0,4,0,3.158849738,7257500
2,1,1,0,0,4,0,3.158849738,8250000
2,1,1,0,0,4,0,3.158849738,10125000
2,1,2,0,0,3,0,3.158849738,8048750
2,1,1,0,0,3,0,3.158849738,9250000
2,1,1,0,0,3,0,3.158849738,9250000
3,1,1,0,0,4,0,3.158849738,4000000
3,1,2,0,0,3,0,3.158849738,8000000
2,1,2,0,0,2,0,3.195580549,6782750
2,1,1,0,0,4,0,3.195580549,7198000
2,1,1,0,0,4,0,3.195580549,10162500
2,1,1,0,0,3,0,3.195580549,5850000
2,1,1,0,0,3,0,3.195580549,6125000
2,1,1,0,0,3,0,3.195580549,7750000
3,1,1,0,0,3,0,3.195580549,4500000
2,1,1,0,0,3,0,3.23231136,12250000
2,2,2,0,0,3,0,3.23231136,5250000
2,2,2,0,0,3,0,3.23231136,5875000
2,2,1,0,0,4,0,3.23231136,5135625
2,1,1,0,0,3,0,3.23231136,7812500
2,1,1,0,0,3,0,3.23231136,8152500
2,1,1,0,0,3,0,3.23231136,9487725
2,1,1,0,0,3,0,3.23231136,10688750
3,2,1,0,0,5,0,3.23231136,6325000
3,1,2,0,0,5,0,3.23231136,7287500
3,1,1,0,0,4,0,3.23231136,5450000
2,1,1,0,0,4,1,3.269042171,11500000
2,1,1,0,0,3,0,3.269042171,3750000
2,1,1,0,0,3,0,3.269042171,10576275
3,1,1,0,0,4,0,3.269042171,7075000
3,1,1,0,0,3,0,3.269042171,9275000
3,1,1,0,0,4,0,3.305772982,7600000
2,1,1,0,0,5,0,3.305772982,4775000
2,1,1,0,0,1,0,3.305772982,5875000
2,1,1,0,0,5,0,3.305772982,9537500
2,1,1,0,0,4,0,3.305772982,8248750
2,1,1,0,0,4,0,3.305772982,11825000
2,1,1,0,0,3,0,3.305772982,2075000
2,1,1,0,0,3,0,3.305772982,4350000
2,1,1,0,0,3,0,3.305772982,5475000
2,1,1,0,0,3,0,3.305772982,9250000
2,1,1,0,0,3,0,3.305772982,12400000
2,1,1,0,0,3,0,3.305772982,13825000
2,1,1,0,2,5,0,3.305772982,7550000
3,1,1,0,0,4,0,3.342503792,4750000
2,1,2,0,0,4,0,3.342503792,8750000
2,1,1,0,0,4,0,3.342503792,4410000
2,1,1,0,0,4,0,3.342503792,7125000
2,1,1,0,0,4,0,3.342503792,10625000
2,1,1,0,0,4,0,3.342503792,15125000
2,1,1,0,0,3,0,3.342503792,2500000
2,1,1,0,0,3,0,3.342503792,3875000
2,1,1,0,0,3,0,3.342503792,5575000
2,1,1,0,0,3,0,3.342503792,9725000
2,1,1,0,0,3,0,3.342503792,10125000
3,1,1,0,0,2,0,3.342503792,5497500
3,1,1,0,0,4,1,3.342503792,7498750
2,1,2,0,0,3,0,3.342503792,15000000
3,1,1,0,0,4,0,3.342503792,6100000
3,1,1,0,0,4,0,3.342503792,7500000
3,1,1,0,0,3,0,3.342503792,5525000
3,1,1,0,0,3,0,3.342503792,11625000
2,2,2,0,0,3,0,3.379234603,6375000
2,1,1,0,0,4,0,3.379234603,5050000
2,1,1,0,0,4,0,3.379234603,8900000
2,1,1,0,0,3,0,3.379234603,7998750
2,1,1,0,0,3,0,3.379234603,10425000
2,1,1,0,0,3,0,3.379234603,10675000
3,1,1,0,0,4,0,3.379234603,4987500
3,1,1,0,0,4,0,3.379234603,5312500
1,1,1,0,0,3,0,3.415965414,4750000
2,2,2,0,0,3,1,3.415965414,8875000
1,1,1,0,0,3,0,3.415965414,5250000
2,1,1,0,0,2,0,3.415965414,2500000
2,1,1,0,0,4,0,3.415965414,3545000
2,1,1,0,0,4,0,3.415965414,9875000
2,1,1,0,0,3,0,3.415965414,5750000
2,1,1,0,0,3,0,3.415965414,6453125
3,1,2,0,0,5,0,3.415965414,7500000
2,1,1,0,2,3,0,3.415965414,16875000
2,1,1,0,0,3,0,3.452696225,8448650
3,1,1,0,0,3,0,3.452696225,8850000
2,1,1,0,0,4,0,3.452696225,5850000
2,1,1,0,0,4,0,3.452696225,6248750
2,2,2,0,0,3,0,3.452696225,9062500
2,1,1,0,0,4,0,3.452696225,9975000
2,1,1,0,0,3,0,3.452696225,5317500
3,1,1,0,0,4,0,3.489427036,6200000
3,1,1,0,0,3,0,3.489427036,3425000
3,1,1,0,0,3,0,3.489427036,7625000
2,1,1,0,2,3,0,3.489427036,8000000
2,1,1,0,2,3,1,3.489427036,12500000
2,2,1,0,0,4,0,3.489427036,10750000
3,2,2,0,0,3,0,3.489427036,11875000
3,2,1,0,0,3,1,3.489427036,5750000
2,1,1,0,0,4,0,3.489427036,8475000
2,1,1,0,0,3,0,3.489427036,4812500
2,1,1,0,0,3,0,3.489427036,5750000
3,1,2,0,0,5,0,3.489427036,11725000
2,1,1,0,0,3,0,3.526157847,7000000
3,2,1,0,0,3,0,3.526157847,5250000
3,2,1,0,0,3,0,3.526157847,9375000
2,2,2,0,0,3,0,3.526157847,8950000
1,1,1,0,0,3,1,3.526157847,8300000
1,1,1,0,0,5,0,3.526157847,10521250
2,1,1,0,0,4,0,3.526157847,6375000
2,1,1,0,0,3,0,3.526157847,7500000
3,1,1,0,0,5,0,3.526157847,5125000
3,1,1,0,0,5,0,3.526157847,5375000
3,1,1,0,0,5,0,3.526157847,5450000
3,1,1,0,0,4,0,3.526157847,3428100
3,1,1,0,0,4,0,3.526157847,8745250
3,1,1,0,0,3,0,3.526157847,6375000
3,1,1,0,0,3,0,3.526157847,7875000
3,1,1,0,0,3,0,3.562888658,3900000
2,1,1,0,0,3,0,3.562888658,13650000
3,1,1,0,0,4,0,3.562888658,5248750
3,1,1,0,0,4,0,3.562888658,5375000
3,1,1,0,0,4,0,3.562888658,5497500
2,1,1,0,0,3,0,3.562888658,7500000
3,1,1,0,0,3,0,3.562888658,4125000
2,1,1,0,0,4,0,3.562888658,7875000
2,1,1,0,0,3,0,3.562888658,5250000
2,1,1,0,0,4,0,3.562888658,17250000
2,1,1,0,0,4,0,3.562888658,8625000
3,1,1,0,0,3,1,3.599619469,12498750
3,2,1,0,0,3,0,3.599619469,10875000
3,2,1,0,0,5,0,3.599619469,8750000
4,2,1,0,0,5,0,3.599619469,7375000
2,2,2,0,0,3,0,3.599619469,3350000
2,2,2,0,0,3,1,3.599619469,9225000
2,1,2,0,0,3,0,3.599619469,10950000
2,1,1,0,0,4,1,3.599619469,10000000
3,1,2,0,0,3,0,3.599619469,4937500
3,1,1,0,0,4,0,3.599619469,10750000
2,2,2,0,0,3,1,3.606965631,6250000
2,1,1,0,0,2,0,3.63635028,3000000
2,1,1,0,0,3,0,3.63635028,10750000
3,1,1,0,0,5,0,3.63635028,7123750
3,1,1,0,0,4,0,3.63635028,5625000
3,1,1,0,0,4,0,3.63635028,6250000
3,1,1,0,0,4,0,3.63635028,8125000
3,1,1,0,0,3,0,3.63635028,5663750
3,1,1,0,0,3,0,3.63635028,6972500
3,1,1,0,0,3,0,3.63635028,12375000
3,2,2,0,0,3,1,3.665734928,8100000
3,2,2,0,0,3,1,3.665734928,8000000
2,1,1,0,0,4,0,3.673081091,6196875
3,1,1,0,0,3,0,3.673081091,4293950
3,1,1,0,0,3,0,3.673081091,4500000
3,1,1,0,0,3,0,3.673081091,6225000
3,1,1,0,0,3,0,3.673081091,6625000
2,1,1,0,0,3,0,3.673081091,6625000
2,2,3,0,0,3,0,3.673081091,7625000
2,1,1,0,0,3,0,3.709811902,4362500
3,2,1,0,0,4,0,3.709811902,4000000
3,2,1,0,0,5,0,3.709811902,5750000
3,2,2,0,0,5,0,3.709811902,10125000
2,2,2,0,0,3,0,3.709811902,7672200
2,2,2,0,0,5,0,3.709811902,11000000
1,2,1,0,0,3,0,3.709811902,10250000
2,1,2,0,0,4,0,3.709811902,12500000
2,1,1,0,0,5,0,3.709811902,12525000
2,1,1,0,0,4,0,3.709811902,7000000
2,1,1,0,0,4,0,3.709811902,14000000
2,1,1,0,0,3,0,3.709811902,7125000
2,1,1,0,0,3,0,3.709811902,7500000
3,1,1,0,0,4,0,3.709811902,3737500
3,1,1,0,0,4,0,3.709811902,7700000
3,1,1,0,0,4,0,3.709811902,7750000
3,1,1,0,0,4,0,3.709811902,8725000
3,1,1,0,0,4,0,3.709811902,8750000
3,1,1,0,0,3,0,3.709811902,3625000
3,1,1,0,0,3,0,3.709811902,3750000
3,1,1,0,0,3,0,3.709811902,4375000
3,1,1,0,0,3,0,3.709811902,4725000
3,1,1,0,0,3,0,3.709811902,4998750
3,1,1,0,0,3,0,3.709811902,6750000
3,1,1,0,0,3,0,3.709811902,7925000
3,1,1,0,0,3,0,3.709811902,8750000
2,1,1,0,0,4,0,3.746542712,4375000
3,2,2,0,0,4,0,3.746542712,9000000
2,2,2,0,0,3,0,3.746542712,5300000
2,2,3,0,0,3,0,3.746542712,11043750
2,1,2,0,0,3,0,3.746542712,10052525
3,2,2,0,0,3,1,3.746542712,5950000
3,2,1,0,0,3,1,3.746542712,12225000
2,1,1,0,0,4,0,3.746542712,10125000
2,1,1,0,0,3,0,3.746542712,4875000
2,1,1,0,0,3,0,3.746542712,5875000
3,1,1,0,0,5,0,3.746542712,6625000
3,1,1,0,0,3,0,3.746542712,5450000
3,1,1,0,0,5,0,3.783273523,17950000
2,2,1,0,0,3,1,3.783273523,14875000
2,2,1,0,0,4,0,3.783273523,5312500
2,1,1,0,0,5,0,3.783273523,16250000
2,1,1,0,0,3,1,3.783273523,13375000
2,1,1,0,0,3,0,3.783273523,11725000
3,1,1,0,0,3,1,3.783273523,6312500
3,1,1,0,0,3,0,3.783273523,5575000
3,1,1,0,0,3,0,3.783273523,8150000
3,1,2,0,0,3,0,3.820004334,3715300
3,2,1,0,0,4,0,3.820004334,9562500
2,2,2,0,0,4,0,3.820004334,10500000
2,1,1,0,0,5,0,3.820004334,4000000
2,1,1,0,0,4,0,3.820004334,15000000
2,1,1,0,0,3,0,3.820004334,13375000
3,2,2,0,0,3,1,3.820004334,5250000
3,1,1,0,0,4,1,3.820004334,4570125
3,1,1,0,0,4,0,3.820004334,7873750
3,1,1,0,0,3,0,3.820004334,3715300
3,1,1,0,0,3,0,3.820004334,5625000
3,1,1,0,0,3,0,3.820004334,5850000
3,1,1,0,0,3,0,3.820004334,10000000
3,1,1,0,0,3,0,3.856735145,5500000
3,2,1,0,0,3,0,3.856735145,6500000
3,2,1,0,0,3,0,3.856735145,7500000
3,2,2,0,0,4,1,3.856735145,10000000
2,2,2,0,0,3,0,3.856735145,8125000
2,2,2,0,0,3,1,3.856735145,8322200
2,1,2,0,0,3,0,3.856735145,4208325
2,1,1,0,0,5,1,3.856735145,10750000
2,1,1,0,0,5,0,3.856735145,12875000
2,1,1,0,0,4,0,3.856735145,10375000
2,1,1,0,0,3,1,3.856735145,16250000
3,1,2,0,0,4,0,3.856735145,8498750
3,1,2,0,0,3,0,3.856735145,9000000
3,1,1,0,0,4,1,3.856735145,11125000
3,1,1,0,0,4,0,3.856735145,5000000
3,1,1,0,0,4,0,3.856735145,6225000
3,1,1,0,0,4,0,3.856735145,13500000
3,1,1,0,0,3,0,3.856735145,4850000
3,1,1,0,0,3,0,3.856735145,5125000
3,1,1,0,0,3,0,3.856735145,6250000
3,1,1,0,0,3,0,3.856735145,7750000
3,1,1,0,0,3,0,3.856735145,11000000
2,1,1,0,0,3,1,3.893465956,4262500
3,2,1,0,0,3,0,3.893465956,7875000
3,2,1,0,0,4,0,3.893465956,7587500
2,2,2,0,0,3,1,3.893465956,8818750
2,2,2,0,0,3,1,3.893465956,12498750
2,2,2,0,0,3,1,3.893465956,12625000
2,2,1,0,0,3,0,3.893465956,8900000
2,1,2,0,0,3,0,3.893465956,8831250
3,2,2,0,0,3,0,3.893465956,10375000
2,1,2,0,0,4,0,3.893465956,10875000
2,1,1,0,0,4,0,3.893465956,6350000
2,1,1,0,0,4,0,3.893465956,7499875
3,2,1,0,0,3,0,3.893465956,6375000
2,1,1,0,0,3,1,3.893465956,12000000
2,1,1,0,0,3,0,3.893465956,11525000
2,1,1,0,0,3,0,3.893465956,12875000
3,1,1,0,0,5,0,3.893465956,4373750
3,1,1,0,0,4,0,3.893465956,5150000
3,1,1,0,0,4,0,3.893465956,5750000
3,1,1,0,0,4,0,3.893465956,8162500
3,1,1,0,0,4,0,3.893465956,8375000
3,1,1,0,0,3,0,3.893465956,3500000
3,1,1,0,0,3,0,3.893465956,8748750
3,1,1,0,2,5,0,3.893465956,5500000
2,2,2,0,0,3,0,3.922850605,6075000
3,1,1,0,0,3,0,3.930196767,8187500
2,2,2,0,0,3,0,3.930196767,7812500
2,2,1,0,0,3,0,3.930196767,6317500
3,1,1,0,0,5,0,3.930196767,8425000
3,1,1,0,0,3,0,3.930196767,5250000
3,2,1,0,0,4,0,3.930196767,4575000
2,1,1,0,2,5,0,3.930196767,7998750
3,2,1,0,0,3,0,3.930196767,10375000
3,2,1,0,0,3,0,3.930196767,13550000
3,2,2,0,0,3,1,3.930196767,8250000
3,1,1,0,0,3,0,3.966927578,3312500
3,1,1,0,0,3,0,3.966927578,5250000
2,1,1,0,3,3,0,3.966927578,13125000
2,1,1,0,0,4,1,3.966927578,7875000
3,2,2,0,0,4,0,3.966927578,9875000
3,2,1,0,0,5,0,3.966927578,9750000
2,1,1,0,0,4,0,3.966927578,4875000
2,1,1,0,0,3,0,3.966927578,5750000
2,1,1,0,0,3,0,3.966927578,8625000
2,1,1,0,0,3,0,3.966927578,8625000
3,1,2,0,0,3,0,3.966927578,4812500
3,1,1,0,0,4,0,3.966927578,6875000
3,1,1,0,0,4,0,3.966927578,8475000
2,2,2,0,0,3,0,3.996312227,6250000
3,1,1,0,0,5,0,4.003658389,7225000
3,2,1,0,0,3,0,4.003658389,5368750
3,2,1,0,0,3,0,4.003658389,8625000
3,2,1,0,0,4,0,4.003658389,5000000
2,2,2,0,0,3,0,4.003658389,6225000
2,2,3,0,0,3,0,4.003658389,10687500
2,2,1,0,0,3,1,4.003658389,11500000
2,1,1,0,0,4,1,4.003658389,7198000
3,1,2,0,0,5,0,4.003658389,5487500
3,1,1,0,0,4,0,4.003658389,3800000
3,1,1,0,0,4,0,4.003658389,7000000
3,1,1,0,0,4,0,4.003658389,7125000
3,1,1,0,0,4,0,4.003658389,7500000
3,1,1,0,0,4,0,4.003658389,9125000
3,1,1,0,0,3,0,4.003658389,4750000
3,1,2,0,0,3,0,4.011004551,7725000
2,2,2,0,0,3,0,4.0403892,11250000
2,2,1,0,0,3,0,4.0403892,4741250
1,1,1,0,0,2,1,4.0403892,6250000
1,1,3,0,0,3,0,4.0403892,12912500
2,1,1,0,0,4,0,4.0403892,5740750
2,1,1,0,0,4,0,4.0403892,10075000
2,1,1,0,0,3,0,4.0403892,8589150
3,1,1,0,0,4,1,4.0403892,8475000
3,1,1,0,0,4,0,4.0403892,6925000
3,1,1,0,0,3,0,4.0403892,3475000
3,1,1,0,0,3,0,4.0403892,4212500
3,1,1,0,0,3,0,4.0403892,4999750
3,1,1,0,0,3,0,4.0403892,11250000
3,3,2,0,0,3,1,4.0403892,7150000
3,1,2,0,4,4,0,4.0403892,9025000
3,2,2,0,0,3,1,4.0403892,9375000
2,1,1,0,0,3,0,4.077120011,16625000
3,2,1,0,0,4,0,4.077120011,5575000
3,2,1,0,0,4,0,4.077120011,10400000
3,2,1,0,0,4,0,4.077120011,11300000
3,2,1,0,0,5,0,4.077120011,8000000
2,2,2,0,0,3,0,4.077120011,5745000
2,2,2,0,0,3,1,4.077120011,12475000
2,1,1,0,0,5,1,4.077120011,11003750
2,1,1,0,0,3,0,4.077120011,6250000
3,1,2,0,0,5,0,4.077120011,14725000
3,1,1,0,0,4,0,4.077120011,10400000
3,1,1,0,0,3,0,4.077120011,5250000
3,1,1,0,0,3,0,4.077120011,6225000
3,1,1,0,0,3,0,4.077120011,7497500
3,1,1,0,0,3,0,4.077120011,8625000
2,1,1,0,0,4,0,4.113850821,6412500
3,2,2,0,0,4,0,4.113850821,11615000
3,2,1,0,0,5,0,4.113850821,10995000
4,2,1,0,0,4,0,4.113850821,6300000
4,2,1,0,0,3,0,4.113850821,54997500
4,1,1,0,0,3,1,4.113850821,2500000
5,1,2,0,0,4,0,4.113850821,8500000
4,1,2,0,0,3,0,4.113850821,13850000
2,1,2,0,0,3,0,4.113850821,13100000
3,2,1,0,0,3,0,4.113850821,9882500
2,1,1,0,0,3,0,4.113850821,4759225
3,1,1,0,0,4,1,4.113850821,13800000
3,1,1,0,0,4,0,4.113850821,8000000
4,2,1,0,0,4,0,4.150581632,5250000
2,2,2,0,0,3,1,4.150581632,13400000
2,1,1,0,0,4,0,4.150581632,15787500
3,1,1,0,0,3,0,4.150581632,5925000
3,1,1,0,0,3,0,4.150581632,6076725
2,1,1,0,0,3,1,4.187312443,11375000
3,2,2,0,0,3,0,4.187312443,5750000
3,2,1,0,0,3,0,4.187312443,5000000
3,2,1,0,0,4,0,4.187312443,3018750
3,2,1,0,0,4,0,4.187312443,6250000
2,2,2,0,0,3,0,4.187312443,7625000
2,2,3,0,0,3,0,4.187312443,10625000
2,2,1,0,0,3,0,4.187312443,12450000
1,1,2,0,0,3,0,4.187312443,13500000
2,1,2,0,0,3,1,4.187312443,5875000
2,1,2,0,0,4,0,4.187312443,8248750
2,1,1,0,0,5,0,4.187312443,13725000
2,1,1,0,0,3,0,4.187312443,6247500
2,1,1,0,0,3,0,4.187312443,10000000
3,1,2,0,0,4,0,4.187312443,8625000
3,1,2,0,0,4,0,4.187312443,11900000
3,1,1,0,0,5,0,4.187312443,4280625
3,1,1,0,0,4,0,4.187312443,6095000
3,1,1,0,0,3,0,4.187312443,4312500
3,1,1,0,0,3,0,4.187312443,6900000
3,2,3,0,0,3,0,4.224043254,9012500
3,2,1,0,0,4,0,4.224043254,6648750
3,2,1,0,0,5,0,4.224043254,11612500
4,2,2,0,0,3,0,4.224043254,8350000
2,2,2,0,0,3,0,4.224043254,5352500
3,2,1,0,0,4,0,4.224043254,5335000
2,2,3,0,0,3,0,4.224043254,10625000
2,2,1,0,0,3,1,4.224043254,11125000
1,2,1,0,0,4,0,4.224043254,2875000
4,1,2,0,0,3,0,4.224043254,7675000
2,1,1,0,0,4,0,4.224043254,11575000
2,1,1,0,0,3,0,4.224043254,3225000
3,2,1,0,0,3,0,4.224043254,7730300
2,1,1,0,0,3,0,4.224043254,9400000
3,1,2,0,0,4,0,4.224043254,5000000
3,1,2,0,0,3,0,4.224043254,7675000
3,1,2,0,0,3,0,4.224043254,12500000
3,1,1,0,0,5,0,4.224043254,10750000
3,1,1,0,0,4,1,4.224043254,7250000
3,1,1,0,0,4,0,4.224043254,4125000
3,1,1,0,0,4,0,4.224043254,5075000
3,2,1,0,0,4,0,4.224043254,5502075
3,1,1,0,0,4,0,4.224043254,6000000
3,1,1,0,0,4,0,4.224043254,8662500
3,1,1,0,0,3,0,4.224043254,4625000
3,1,1,0,0,3,0,4.224043254,7500000
3,1,1,0,2,3,0,4.224043254,12000000
2,2,1,0,0,3,0,4.257100984,14562500
3,2,1,0,0,3,0,4.260774065,6250000
3,2,1,0,0,3,0,4.260774065,6562500
3,2,1,0,0,4,0,4.260774065,8233325
2,2,2,0,0,3,0,4.260774065,4200000
2,2,2,0,0,3,0,4.260774065,8500000
2,2,2,0,0,3,1,4.260774065,13125000
2,1,1,0,0,4,0,4.260774065,12250000
3,1,2,0,0,3,0,4.260774065,9750000
3,1,1,0,0,4,0,4.260774065,5037500
3,1,1,0,0,4,0,4.260774065,5375000
3,1,1,0,0,3,0,4.260774065,7625000
3,1,1,0,0,3,0,4.260774065,7875000
3,1,1,0,0,3,0,4.260774065,7925000
2,1,1,0,0,4,1,4.260774065,11700000
3,2,1,0,0,4,0,4.297504876,8250000
3,2,1,0,0,3,0,4.297504876,5125000
3,2,1,0,0,3,0,4.297504876,6250000
3,2,1,0,0,3,0,4.297504876,8375000
3,2,1,0,0,3,0,4.297504876,8812500
3,2,3,0,0,3,0,4.297504876,12998750
3,2,1,0,0,4,0,4.297504876,11000000
2,2,2,0,0,3,0,4.297504876,8418750
2,2,1,0,0,4,1,4.297504876,12475000
1,2,2,0,0,3,1,4.297504876,5875000
1,1,1,0,0,5,1,4.297504876,6875000
4,1,2,0,0,3,0,4.297504876,8750000
5,1,1,0,0,4,1,4.297504876,9925000
2,1,1,0,0,4,1,4.297504876,11375000
2,1,1,0,0,3,0,4.297504876,7375000
3,1,1,0,0,2,0,4.297504876,2987500
3,1,1,0,0,4,0,4.297504876,5875000
3,1,1,0,0,3,0,4.297504876,10375000
2,1,1,0,2,3,0,4.297504876,4375000
2,2,2,0,1,4,0,4.297504876,15325000
2,2,2,0,0,3,1,4.315870281,8550000
3,2,2,0,0,3,0,4.334235687,8560000
3,2,1,0,0,3,0,4.334235687,4825000
3,2,1,0,0,3,0,4.334235687,6875000
3,2,1,0,0,3,0,4.334235687,11375000
3,2,1,0,0,3,1,4.334235687,9312500
3,2,3,0,0,3,0,4.334235687,11800000
3,2,1,0,0,4,1,4.334235687,9625000
3,2,1,0,0,4,1,4.334235687,11250000
